,title,artists,album,popularity,camelot,BPM,key,acousticness,happiness,instrumentalness,liveness,loudness,danceability,energy,yt_id
0,Capitão de Areia,['Afterclapp'],Capitão De Areia,46,8B,85.0,C Major,0.757,0.308,0.0778,0.253,-12.196,0.698,0.337,53101044
1,Crystal Dolphin,['Engelwood'],Crust FM,59,11B,128.0,A Major,0.33,0.247,0.000445,0.41,-6.868,0.558,0.776,38410510
2,Where Is The Love?,['Black Eyed Peas'],Elephunk,82,7B,94.0,F Major,0.111,0.809,0.0,0.131,-3.222,0.834,0.699,71235
3,Take It Easy,['Batu Boris'],Take It Easy,34,9B,140.0,G Major,0.714,0.735,0.0141,0.103,-8.888,0.871,0.468,86510748
4,My Witch,['Moderator'],Sinner's Syndrome,46,7B,91.0,F Major,0.151,0.532,0.234,0.295,-8.697,0.648,0.771,40643189
5,Riders On The Storm - Fredwreck Remix,"['Snoop Dogg', 'The Doors']",Riders On The Storm (Fredwreck Remix),66,10A,102.0,B Minor,0.416,0.831,3.1e-05,0.122,-5.273,0.878,0.786,72668561
6,Imperial,['j^p^n'],Prodigal,53,5B,102.0,E♭ Major,0.236,0.397,0.0852,0.483,-7.863,0.385,0.454,83824389
7,They Dead Wrong,"['Slivanoë', 'Tour De Manège']",Special East Coast,3,1A,90.0,A♭ Minor,0.1,0.781,4.62e-05,0.149,-4.922,0.808,0.734,45821098
8,Believe Me (feat. Bobo & Styles of Beyond),"['Fort Minor', 'Bobo', 'Styles Of Beyond']",The Rising Tied,46,4B,110.0,A♭ Major,0.0649,0.668,0.000444,0.311,-3.406,0.702,0.978,133052
9,Fantasy (feat. O.D.B.) - Bad Boy Fantasy,"['Mariah Carey', ""Ol' Dirty Bastard""]",Fantasy EP,59,10A,102.0,B Minor,0.0501,0.804,0.0,0.0409,-6.519,0.812,0.661,4442566
